word		translation	chapter
musical		Musical	Open World (2015) - Unit 1 - 04 Discover the city
pleasure		Freude, Vergnügen	Open World (2015) - Unit 1 - 04 Discover the city
pm		(für Uhrzeiten zwischen Mittag und Mitternacht)	Open World (2015) - Unit 1 - 04 Discover the city
pub		Lokal, Kneipe, Beiz	Open World (2015) - Unit 1 - 04 Discover the city
Rome		Rom	Open World (2015) - Unit 1 - 04 Discover the city
spot		entdecken	Open World (2015) - Unit 1 - 04 Discover the city
straight		gerade(aus)	Open World (2015) - Unit 1 - 04 Discover the city
temperature		Temperatur	Open World (2015) - Unit 1 - 04 Discover the city
top deck		Oberdeck	Open World (2015) - Unit 1 - 04 Discover the city
tourist		Tourist/-in	Open World (2015) - Unit 1 - 04 Discover the city
youth hostel		Jugendherberge	Open World (2015) - Unit 1 - 04 Discover the city
Zurich		Zürich	Open World (2015) - Unit 1 - 04 Discover the city
abbey		Abtei	Open World (2015) - Unit 1 - 05 Edinburgh stories
accent		Akzent	Open World (2015) - Unit 1 - 05 Edinburgh stories
atmosphere		Atmosphäre	Open World (2015) - Unit 1 - 05 Edinburgh stories
be lucky / in luck		Glück haben	Open World (2015) - Unit 1 - 05 Edinburgh stories
blind		blind	Open World (2015) - Unit 1 - 05 Edinburgh stories
boat		Boot, Schiff	Open World (2015) - Unit 1 - 05 Edinburgh stories
breakfast hours (pl)		Frühstückszeiten, Frühstück (in einem Hotel)	Open World (2015) - Unit 1 - 05 Edinburgh stories
bye		tschüss	Open World (2015) - Unit 1 - 05 Edinburgh stories
cheap		billig	Open World (2015) - Unit 1 - 05 Edinburgh stories
check-in form		Check-in-Formular	Open World (2015) - Unit 1 - 05 Edinburgh stories
classmate		Klassenkamerad/-in	Open World (2015) - Unit 1 - 05 Edinburgh stories
clerk		Büroangestellter	Open World (2015) - Unit 1 - 05 Edinburgh stories
confirmation		Bestätigung	Open World (2015) - Unit 1 - 05 Edinburgh stories
connection		hierː Verbindung	Open World (2015) - Unit 1 - 05 Edinburgh stories
countryside		Land, Landschaft	Open World (2015) - Unit 1 - 05 Edinburgh stories
curly		gerollt, lockig	Open World (2015) - Unit 1 - 05 Edinburgh stories
departure		Abfahrt	Open World (2015) - Unit 1 - 05 Edinburgh stories
designer		Designer/-in	Open World (2015) - Unit 1 - 05 Edinburgh stories
destination		Ziel, Reiseziel	Open World (2015) - Unit 1 - 05 Edinburgh stories
email		E-Mail	Open World (2015) - Unit 1 - 05 Edinburgh stories
first name		Vorname	Open World (2015) - Unit 1 - 05 Edinburgh stories
flexibility		Beweglichkeit, Flexibilität	Open World (2015) - Unit 1 - 05 Edinburgh stories
French		französisch	Open World (2015) - Unit 1 - 05 Edinburgh stories
friendly		freundlich	Open World (2015) - Unit 1 - 05 Edinburgh stories
gallery		Galerie	Open World (2015) - Unit 1 - 05 Edinburgh stories
get around		herumkommen, vorankommen	Open World (2015) - Unit 1 - 05 Edinburgh stories
get enough		genug bekommen	Open World (2015) - Unit 1 - 05 Edinburgh stories
goodbye		auf Wiedersehen	Open World (2015) - Unit 1 - 05 Edinburgh stories
greet		grüssen, begrüssen	Open World (2015) - Unit 1 - 05 Edinburgh stories
guest		Gast	Open World (2015) - Unit 1 - 05 Edinburgh stories
handbag		Handtasche	Open World (2015) - Unit 1 - 05 Edinburgh stories
hang around		hier: rumhängen	Open World (2015) - Unit 1 - 05 Edinburgh stories
have a wonderful time		eine wundervolle Zeit verbringen	Open World (2015) - Unit 1 - 05 Edinburgh stories
hip		Hüfte	Open World (2015) - Unit 1 - 05 Edinburgh stories
in cash		bar, cash	Open World (2015) - Unit 1 - 05 Edinburgh stories
individually		individuell, einzeln	Open World (2015) - Unit 1 - 05 Edinburgh stories
invent		erfinden	Open World (2015) - Unit 1 - 05 Edinburgh stories
island		Insel	Open World (2015) - Unit 1 - 05 Edinburgh stories
lady		Frau, Dame	Open World (2015) - Unit 1 - 05 Edinburgh stories
log in		sich einloggen, anmelden	Open World (2015) - Unit 1 - 05 Edinburgh stories
Madam		gnädige Frau, Dame	Open World (2015) - Unit 1 - 05 Edinburgh stories
magical		magisch, zauberhaft	Open World (2015) - Unit 1 - 05 Edinburgh stories
make a difference		einen Unterschied machen	Open World (2015) - Unit 1 - 05 Edinburgh stories
master		Herr, Meister	Open World (2015) - Unit 1 - 05 Edinburgh stories
meal		Mahlzeit, Essen	Open World (2015) - Unit 1 - 05 Edinburgh stories
menswear		Herrenbekleidung	Open World (2015) - Unit 1 - 05 Edinburgh stories
nearby		in der Nähe	Open World (2015) - Unit 1 - 05 Edinburgh stories
office		Büro	Open World (2015) - Unit 1 - 05 Edinburgh stories
passenger		Passagier	Open World (2015) - Unit 1 - 05 Edinburgh stories
per night		pro Nacht	Open World (2015) - Unit 1 - 05 Edinburgh stories
perfect fit		perfekter Sitz (bei Kleidern), optimale Passform	Open World (2015) - Unit 1 - 05 Edinburgh stories
police officer		Polizeibeamte/-r	Open World (2015) - Unit 1 - 05 Edinburgh stories
queue		anstehen, Schlange stehen	Open World (2015) - Unit 1 - 05 Edinburgh stories
railcard		Bahnkarte, Bahnabo	Open World (2015) - Unit 1 - 05 Edinburgh stories
railway station		Bahnhof	Open World (2015) - Unit 1 - 05 Edinburgh stories
receipt		Quittung	Open World (2015) - Unit 1 - 05 Edinburgh stories
receptionist		Empfangschef, Empfangsdame	Open World (2015) - Unit 1 - 05 Edinburgh stories
reservation		Reservation	Open World (2015) - Unit 1 - 05 Edinburgh stories
return (ticket)		Hin- und Rückfahrkarte, Retourbillet	Open World (2015) - Unit 1 - 05 Edinburgh stories
revise		hierː wiederholen	Open World (2015) - Unit 1 - 05 Edinburgh stories
rush hour		Hauptverkehrszeit, Stosszeit	Open World (2015) - Unit 1 - 05 Edinburgh stories
safe		sicher, ungefährlich	Open World (2015) - Unit 1 - 05 Edinburgh stories
Scotsman		Schotte	Open World (2015) - Unit 1 - 05 Edinburgh stories
single (ticket)		Einzelfahrkarte	Open World (2015) - Unit 1 - 05 Edinburgh stories
skirt		Jupe, Rock	Open World (2015) - Unit 1 - 05 Edinburgh stories
steal		stehlen	Open World (2015) - Unit 1 - 05 Edinburgh stories
supermarket		Supermarkt	Open World (2015) - Unit 1 - 05 Edinburgh stories
surname		Nachname, Familienname	Open World (2015) - Unit 1 - 05 Edinburgh stories
suspect		Verdächtige/-r	Open World (2015) - Unit 1 - 05 Edinburgh stories
teenager		Teenager	Open World (2015) - Unit 1 - 05 Edinburgh stories
thin		dünn	Open World (2015) - Unit 1 - 05 Edinburgh stories
tight		eng, satt sitzend	Open World (2015) - Unit 1 - 05 Edinburgh stories
tradition		Tradition, Brauch	Open World (2015) - Unit 1 - 05 Edinburgh stories
traditional		traditionell	Open World (2015) - Unit 1 - 05 Edinburgh stories
trendy		trendy, modisch	Open World (2015) - Unit 1 - 05 Edinburgh stories
typically		typisch, normalerweise	Open World (2015) - Unit 1 - 05 Edinburgh stories
uncomfortable		unbehaglich, unwohl	Open World (2015) - Unit 1 - 05 Edinburgh stories
unknown		unbekannt, nicht bekannt	Open World (2015) - Unit 1 - 05 Edinburgh stories
waitress		Serviceangestellte, Kellnerin	Open World (2015) - Unit 1 - 05 Edinburgh stories
dice		Würfel	Open World (2015) - Unit 1 - 06 Focus
English-speaking		englischsprachig	Open World (2015) - Unit 1 - 06 Focus
fast track		Überholspur	Open World (2015) - Unit 1 - 06 Focus
relax		sich entspannen	Open World (2015) - Unit 1 - 06 Focus
square		Feld (auf einem Spielbrett)	Open World (2015) - Unit 1 - 06 Focus
take action		handeln, etw. unternehmen, tun	Open World (2015) - Unit 1 - 06 Focus
aggressive		aggressiv, energisch	Open World (2015) - Unit 2 - 01 Keywords
animal		Tier	Open World (2015) - Unit 2 - 01 Keywords
chemical		chemisch	Open World (2015) - Unit 2 - 01 Keywords
chimpanzee		Schimpanse	Open World (2015) - Unit 2 - 01 Keywords
communicate		kommunizieren	Open World (2015) - Unit 2 - 01 Keywords
dance		Tanz	Open World (2015) - Unit 2 - 01 Keywords
pheromone		Pheromon	Open World (2015) - Unit 2 - 01 Keywords
signal		Zeichen, Signal	Open World (2015) - Unit 2 - 01 Keywords
symbol		Symbol	Open World (2015) - Unit 2 - 01 Keywords
whale		Wal	Open World (2015) - Unit 2 - 01 Keywords
afraid		Angst haben, sich fürchten	Open World (2015) - Unit 2 - 02 Particular pets
angry		zornig	Open World (2015) - Unit 2 - 02 Particular pets
animal communication		Tierkommunikation	Open World (2015) - Unit 2 - 02 Particular pets
barking		Bellen	Open World (2015) - Unit 2 - 02 Particular pets
cat		Katze	Open World (2015) - Unit 2 - 02 Particular pets
confident		zuversichtlich	Open World (2015) - Unit 2 - 02 Particular pets
dog shelter		Hundeheim	Open World (2015) - Unit 2 - 02 Particular pets
ear		Ohr	Open World (2015) - Unit 2 - 02 Particular pets
excited		aufgeregt, begeistert	Open World (2015) - Unit 2 - 02 Particular pets
hungry		hungrig	Open World (2015) - Unit 2 - 02 Particular pets
jump		springen	Open World (2015) - Unit 2 - 02 Particular pets
keeper		hierː Wärter	Open World (2015) - Unit 2 - 02 Particular pets
lift		heben	Open World (2015) - Unit 2 - 02 Particular pets
meow		miauen	Open World (2015) - Unit 2 - 02 Particular pets
mouth		Mund, Maul	Open World (2015) - Unit 2 - 02 Particular pets
particular		besondere(r, s)	Open World (2015) - Unit 2 - 02 Particular pets
pet		Haustier	Open World (2015) - Unit 2 - 02 Particular pets
playful		spielerisch	Open World (2015) - Unit 2 - 02 Particular pets
poster		Poster, Plakat	Open World (2015) - Unit 2 - 02 Particular pets
relaxed		entspannt, locker	Open World (2015) - Unit 2 - 02 Particular pets
shy		scheu, schüchtern	Open World (2015) - Unit 2 - 02 Particular pets
slightly		etwas, ein wenig	Open World (2015) - Unit 2 - 02 Particular pets
tail		Schwanz	Open World (2015) - Unit 2 - 02 Particular pets
teeth (pl)		pl. von tooth; Zähne	Open World (2015) - Unit 2 - 02 Particular pets
wag the tail		mit dem Schwanz wedeln	Open World (2015) - Unit 2 - 02 Particular pets
watchful		wachsam	Open World (2015) - Unit 2 - 02 Particular pets
whining		Jaulen	Open World (2015) - Unit 2 - 02 Particular pets
ant		Ameise	Open World (2015) - Unit 2 - 03 Artful animals
artful		geschickt	Open World (2015) - Unit 2 - 03 Artful animals
bee		Biene	Open World (2015) - Unit 2 - 03 Artful animals
crossword puzzle		Kreuzworträtsel	Open World (2015) - Unit 2 - 03 Artful animals
dance floor		Tanzfläche	Open World (2015) - Unit 2 - 03 Artful animals
find out		herausfinden	Open World (2015) - Unit 2 - 03 Artful animals
incomplete		unvollständig	Open World (2015) - Unit 2 - 03 Artful animals
organ		hierː Organ	Open World (2015) - Unit 2 - 03 Artful animals
round dance		Rundtanz	Open World (2015) - Unit 2 - 03 Artful animals
scientist		Wissenschaftler/-in	Open World (2015) - Unit 2 - 03 Artful animals
slowly		langsam	Open World (2015) - Unit 2 - 03 Artful animals
smell		riechen	Open World (2015) - Unit 2 - 03 Artful animals
spectrogram		Spektrogramm	Open World (2015) - Unit 2 - 03 Artful animals
trail		Weg, Pfad, Spur	Open World (2015) - Unit 2 - 03 Artful animals
waggle dance		Schwänzeltanz	Open World (2015) - Unit 2 - 03 Artful animals
abdomen		Abdomen, Unterleib	Open World (2015) - Unit 2 - 04 Busy bees
angle		Winkel	Open World (2015) - Unit 2 - 04 Busy bees
beat		schlagen	Open World (2015) - Unit 2 - 04 Busy bees
blocked		verstopft, blockiert	Open World (2015) - Unit 2 - 04 Busy bees
busy		beschäftigt, belebt	Open World (2015) - Unit 2 - 04 Busy bees
correctly		richtig, korrekt	Open World (2015) - Unit 2 - 04 Busy bees
duration		Dauer	Open World (2015) - Unit 2 - 04 Busy bees
entrance		Eingang	Open World (2015) - Unit 2 - 04 Busy bees
flower		Blume	Open World (2015) - Unit 2 - 04 Busy bees
hive		Bienenstock	Open World (2015) - Unit 2 - 04 Busy bees
kilometre		Kilometer	Open World (2015) - Unit 2 - 04 Busy bees
nectar		Nektar	Open World (2015) - Unit 2 - 04 Busy bees
opposite		gegenüberliegend, entgegengesetzt	Open World (2015) - Unit 2 - 04 Busy bees
point (up)		(nach oben) zeigen	Open World (2015) - Unit 2 - 04 Busy bees
polite		höflich	Open World (2015) - Unit 2 - 04 Busy bees
signal		signalisieren	Open World (2015) - Unit 2 - 04 Busy bees
sniff		hierː schnuppern	Open World (2015) - Unit 2 - 04 Busy bees
sun		Sonne	Open World (2015) - Unit 2 - 04 Busy bees
wing		Flügel, Gebäudeflügel	Open World (2015) - Unit 2 - 04 Busy bees
apart from		abgesehen von	Open World (2015) - Unit 2 - 05 Chattering chimps
call		hierː Ruf	Open World (2015) - Unit 2 - 05 Chattering chimps
chattering		plappernd, schwatzend	Open World (2015) - Unit 2 - 05 Chattering chimps
chimp		Kurzform für chimpanzee	Open World (2015) - Unit 2 - 05 Chattering chimps
enemy		Feind/-in	Open World (2015) - Unit 2 - 05 Chattering chimps
friendship		Freundschaft	Open World (2015) - Unit 2 - 05 Chattering chimps
grin		grinsen	Open World (2015) - Unit 2 - 05 Chattering chimps
groom		hierː sich lausen	Open World (2015) - Unit 2 - 05 Chattering chimps
harmony		Harmonie	Open World (2015) - Unit 2 - 05 Chattering chimps
identification		Identifizierung	Open World (2015) - Unit 2 - 05 Chattering chimps
impress		beeindrucken	Open World (2015) - Unit 2 - 05 Chattering chimps
laughter		Lachen	Open World (2015) - Unit 2 - 05 Chattering chimps
lice (pl)		pl. von louse; Läuse	Open World (2015) - Unit 2 - 05 Chattering chimps
lip		Lippe	Open World (2015) - Unit 2 - 05 Chattering chimps
normally		normalerweise	Open World (2015) - Unit 2 - 05 Chattering chimps
preserve		bewahren, erhalten	Open World (2015) - Unit 2 - 05 Chattering chimps
rarely		selten, nicht oft	Open World (2015) - Unit 2 - 05 Chattering chimps
reaction		Reaktion	Open World (2015) - Unit 2 - 05 Chattering chimps
regularly		regelmässig	Open World (2015) - Unit 2 - 05 Chattering chimps
remove		entfernen	Open World (2015) - Unit 2 - 05 Chattering chimps
skin		Haut	Open World (2015) - Unit 2 - 05 Chattering chimps
sneer		spöttisch grinsen	Open World (2015) - Unit 2 - 05 Chattering chimps
stare		starren	Open World (2015) - Unit 2 - 05 Chattering chimps
the hair stands on end		die Haare stehen zu Berge	Open World (2015) - Unit 2 - 05 Chattering chimps
top teeth (pl)		obere Zähne	Open World (2015) - Unit 2 - 05 Chattering chimps
ambitious		ehrgeizig	Open World (2015) - Unit 2 - 06 Ambitious apes
ape		(Menschen)affe	Open World (2015) - Unit 2 - 06 Ambitious apes
bite		Biss	Open World (2015) - Unit 2 - 06 Ambitious apes
board game		Brettspiel	Open World (2015) - Unit 2 - 06 Ambitious apes
bonobo		Bonobo, Zwergschimpanse	Open World (2015) - Unit 2 - 06 Ambitious apes
clever		klug, gescheit	Open World (2015) - Unit 2 - 06 Ambitious apes
cooler		Kühlbox	Open World (2015) - Unit 2 - 06 Ambitious apes
decade		Jahrzehnt	Open World (2015) - Unit 2 - 06 Ambitious apes
emotion		Gefühl, Emotion	Open World (2015) - Unit 2 - 06 Ambitious apes
equally		gleichermassen, ebenso	Open World (2015) - Unit 2 - 06 Ambitious apes
forest		Wald	Open World (2015) - Unit 2 - 06 Ambitious apes
gesture		Handbewegung, Geste	Open World (2015) - Unit 2 - 06 Ambitious apes
go for a walk		einen Spaziergang machen	Open World (2015) - Unit 2 - 06 Ambitious apes
gorilla		Gorilla	Open World (2015) - Unit 2 - 06 Ambitious apes
intelligent		klug, intelligent	Open World (2015) - Unit 2 - 06 Ambitious apes
learner		Lernende(r)	Open World (2015) - Unit 2 - 06 Ambitious apes
loud		laut	Open World (2015) - Unit 2 - 06 Ambitious apes
orangutan		Orangutan	Open World (2015) - Unit 2 - 06 Ambitious apes
outdoor location		Ort im Freien	Open World (2015) - Unit 2 - 06 Ambitious apes
quick		schnell	Open World (2015) - Unit 2 - 06 Ambitious apes
quiet		ruhig	Open World (2015) - Unit 2 - 06 Ambitious apes
sign language		Zeichensprache	Open World (2015) - Unit 2 - 06 Ambitious apes
sofa		Sofa	Open World (2015) - Unit 2 - 06 Ambitious apes
suitable		geeignet, passend	Open World (2015) - Unit 2 - 06 Ambitious apes
the way children do		so wie es Kinder machen	Open World (2015) - Unit 2 - 06 Ambitious apes
upset		aufgebracht, bestürzt	Open World (2015) - Unit 2 - 06 Ambitious apes
well-known		bekannt, berühmt	Open World (2015) - Unit 2 - 06 Ambitious apes
zoo		Zoo	Open World (2015) - Unit 2 - 06 Ambitious apes
awake		wach	Open World (2015) - Unit 2 - 07 Focus
bright		hell, grell, leuchtend	Open World (2015) - Unit 2 - 07 Focus
communicator		hier: kommunizierendes Tier	Open World (2015) - Unit 2 - 07 Focus
danger		Gefahr	Open World (2015) - Unit 2 - 07 Focus
elephant		Elefant	Open World (2015) - Unit 2 - 07 Focus
facial expression		Gesichtsausdruck	Open World (2015) - Unit 2 - 07 Focus
feedback		Rückmeldung	Open World (2015) - Unit 2 - 07 Focus
front leg		Vorderbein	Open World (2015) - Unit 2 - 07 Focus
horse		Pferd	Open World (2015) - Unit 2 - 07 Focus
impatient		ungeduldig	Open World (2015) - Unit 2 - 07 Focus
in an interesting way		auf eine interessante Art	Open World (2015) - Unit 2 - 07 Focus
kick		treten, ausschlagen	Open World (2015) - Unit 2 - 07 Focus
layout 		Layout, Seitengestaltung	Open World (2015) - Unit 2 - 07 Focus
look after		sich kümmern um	Open World (2015) - Unit 2 - 07 Focus
meerkat		Erdmännchen	Open World (2015) - Unit 2 - 07 Focus
noise		Geräusch	Open World (2015) - Unit 2 - 07 Focus
peacock		Pfau	Open World (2015) - Unit 2 - 07 Focus
stamp		stampfen	Open World (2015) - Unit 2 - 07 Focus
warn		warnen	Open World (2015) - Unit 2 - 07 Focus
wolf		Wolf	Open World (2015) - Unit 2 - 07 Focus
aggressive		Kantine, Mensa	Open World (2015) - Unit 3 - 01 Keywords
animal		Ernährung, Nahrung, Diät	Open World (2015) - Unit 3 - 01 Keywords
chemical		Bewegung, sportliche Betätigung	Open World (2015) - Unit 3 - 01 Keywords
chimpanzee		Frucht, Früchte	Open World (2015) - Unit 3 - 01 Keywords
communicate		Gesundheit	Open World (2015) - Unit 3 - 01 Keywords
ingredient		Zutat, Bestandteil	Open World (2015) - Unit 3 - 01 Keywords
junk food		ungesundes Essen	Open World (2015) - Unit 3 - 01 Keywords
nutrition		Ernährung	Open World (2015) - Unit 3 - 01 Keywords
recipe		Rezept	Open World (2015) - Unit 3 - 01 Keywords
vegetable		Gemüse	Open World (2015) - Unit 3 - 01 Keywords
absolutely		absolut, völlig	Open World (2015) - Unit 3 - 02 Fitness and well-being
active		aktiv	Open World (2015) - Unit 3 - 02 Fitness and well-being
all day		den ganzen Tag	Open World (2015) - Unit 3 - 02 Fitness and well-being
anybody		irgendjemand	Open World (2015) - Unit 3 - 02 Fitness and well-being
ask for advice		um Rat fragen	Open World (2015) - Unit 3 - 02 Fitness and well-being
aspect		Gesichtspunkt, Blickwinkel, Aspekt	Open World (2015) - Unit 3 - 02 Fitness and well-being
be happy with		zufrieden sein mit	Open World (2015) - Unit 3 - 02 Fitness and well-being
brain		Gehirn	Open World (2015) - Unit 3 - 02 Fitness and well-being
by bike		mit dem Fahrrad	Open World (2015) - Unit 3 - 02 Fitness and well-being
chips (pl)		Pommes frites	Open World (2015) - Unit 3 - 02 Fitness and well-being
chocolate		Schokolade	Open World (2015) - Unit 3 - 02 Fitness and well-being
combine		verbinden	Open World (2015) - Unit 3 - 02 Fitness and well-being
comfortable		komfortabel, bequem	Open World (2015) - Unit 3 - 02 Fitness and well-being
cycle		Velo fahren	Open World (2015) - Unit 3 - 02 Fitness and well-being
deal with		sich befassen mit	Open World (2015) - Unit 3 - 02 Fitness and well-being
disagree		nicht einverstanden sein, anderer Meinung sein	Open World (2015) - Unit 3 - 02 Fitness and well-being
disagreement		Meinungsverschieden- heit, Streit	Open World (2015) - Unit 3 - 02 Fitness and well-being
Egypt		Ägypten	Open World (2015) - Unit 3 - 02 Fitness and well-being
fast food		Fastfood	Open World (2015) - Unit 3 - 02 Fitness and well-being
feel down		sich niedergeschlagen, deprimiert fühlen	Open World (2015) - Unit 3 - 02 Fitness and well-being
fitness		Fitness	Open World (2015) - Unit 3 - 02 Fitness and well-being
focus on 		sich konzentrieren auf	Open World (2015) - Unit 3 - 02 Fitness and well-being
food pyramid		Lebensmittelpyramide	Open World (2015) - Unit 3 - 02 Fitness and well-being
football		Fussball	Open World (2015) - Unit 3 - 02 Fitness and well-being
fridge		Kühlschrank	Open World (2015) - Unit 3 - 02 Fitness and well-being
get angry		wütend werden	Open World (2015) - Unit 3 - 02 Fitness and well-being
go crazy		verrückt werden	Open World (2015) - Unit 3 - 02 Fitness and well-being
hamburger		Hamburger	Open World (2015) - Unit 3 - 02 Fitness and well-being
healthy		gesund	Open World (2015) - Unit 3 - 02 Fitness and well-being
importance		Bedeutung	Open World (2015) - Unit 3 - 02 Fitness and well-being
index finger		Zeigefinger	Open World (2015) - Unit 3 - 02 Fitness and well-being
lifestyle		Lebensstil	Open World (2015) - Unit 3 - 02 Fitness and well-being
motivate		motivieren, anregen	Open World (2015) - Unit 3 - 02 Fitness and well-being
nervous		nervös	Open World (2015) - Unit 3 - 02 Fitness and well-being
on foot		zu Fuss	Open World (2015) - Unit 3 - 02 Fitness and well-being
pool		Schwimmbad, Swimmingpool	Open World (2015) - Unit 3 - 02 Fitness and well-being
preference		Vorliebe	Open World (2015) - Unit 3 - 02 Fitness and well-being
quantity		Menge	Open World (2015) - Unit 3 - 02 Fitness and well-being
rank		anordnen	Open World (2015) - Unit 3 - 02 Fitness and well-being
self-confidence		Selbstvertrauen	Open World (2015) - Unit 3 - 02 Fitness and well-being
stressful		stressig, Stress-	Open World (2015) - Unit 3 - 02 Fitness and well-being
swim		schwimmen	Open World (2015) - Unit 3 - 02 Fitness and well-being
take 10 minutes		10 Minuten dauern, brauchen	Open World (2015) - Unit 3 - 02 Fitness and well-being
That's rubbish!		Das ist Blödsinn!	Open World (2015) - Unit 3 - 02 Fitness and well-being
totally		völlig	Open World (2015) - Unit 3 - 02 Fitness and well-being
tricky		schwierig, kompliziert	Open World (2015) - Unit 3 - 02 Fitness and well-being
twice		zweimal	Open World (2015) - Unit 3 - 02 Fitness and well-being
wait for		warten auf	Open World (2015) - Unit 3 - 02 Fitness and well-being
well-being		Wohl	Open World (2015) - Unit 3 - 02 Fitness and well-being
a day		pro Tag	Open World (2015) - Unit 3 - 03 A healthy lifestyle
advice		Rat	Open World (2015) - Unit 3 - 03 A healthy lifestyle
alcohol		Alkohol	Open World (2015) - Unit 3 - 03 A healthy lifestyle
columnist		Kolumnist/-in	Open World (2015) - Unit 3 - 03 A healthy lifestyle
complicated		kompliziert	Open World (2015) - Unit 3 - 03 A healthy lifestyle
delicious		köstlich	Open World (2015) - Unit 3 - 03 A healthy lifestyle
fresh		frisch	Open World (2015) - Unit 3 - 03 A healthy lifestyle
globe		Globus, Erde, Welt	Open World (2015) - Unit 3 - 03 A healthy lifestyle
hobby		Hobby	Open World (2015) - Unit 3 - 03 A healthy lifestyle
imperative		Imperativ	Open World (2015) - Unit 3 - 03 A healthy lifestyle
inspire		inspirieren, ermutigen	Open World (2015) - Unit 3 - 03 A healthy lifestyle
mineral		Mineralstoff	Open World (2015) - Unit 3 - 03 A healthy lifestyle
plenty of		viel	Open World (2015) - Unit 3 - 03 A healthy lifestyle
